Query Name,Estimated Rows,Actual Rows,Difference,Relation Name,Node Type,Join Type,Scan Direction,Parent Node Type
11a.sql :,2,764,-762,XXX,Nested Loop,Inner,XXX,Nested Loop
11a.sql :,9,3972,-3963,XXX,Hash Join,Inner,XXX,Nested Loop
11a.sql :,35,4777,-4742,XXX,Hash Join,Inner,XXX,Hash Join
11a.sql :,522659,423996,98663,movie_companies,Seq Scan,XXX,XXX,Hash Join
11a.sql :,14,3515,-3501,XXX,Hash,XXX,XXX,Hash Join
11a.sql :,14,3515,-3501,XXX,Hash Join,Inner,XXX,Hash
11a.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
11a.sql :,1,0,1,company_name,Index Scan,XXX,Forward,Nested Loop
11a.sql :,1666,2315,-649,XXX,Hash Join,Inner,XXX,Nested Loop
11a.sql :,1,2,-1,XXX,Hash,XXX,XXX,Hash Join
11a.sql :,1,2,-1,link_type,Seq Scan,XXX,XXX,Hash
11b.sql :,1,14,-13,XXX,Nested Loop,Inner,XXX,Aggregate
11b.sql :,1,21,-20,XXX,Nested Loop,Inner,XXX,Nested Loop
11b.sql :,1,3,-2,XXX,Gather,XXX,XXX,Nested Loop
11b.sql :,9,3972,-3963,XXX,Hash Join,Inner,XXX,Nested Loop
11b.sql :,35,4777,-4742,XXX,Hash Join,Inner,XXX,Hash Join
11b.sql :,522659,423996,98663,movie_companies,Seq Scan,XXX,XXX,Hash Join
11b.sql :,14,3515,-3501,XXX,Hash,XXX,XXX,Hash Join
11b.sql :,14,3515,-3501,XXX,Hash Join,Inner,XXX,Hash
11b.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
11b.sql :,1,0,1,title,Index Scan,XXX,Forward,Nested Loop
11b.sql :,1666,1158,508,XXX,Hash Join,Inner,XXX,Nested Loop
11c.sql :,1,6946,-6945,XXX,Nested Loop,Inner,XXX,Aggregate
11c.sql :,1,6946,-6945,XXX,Nested Loop,Inner,XXX,Nested Loop
11c.sql :,1,4137,-4136,XXX,Nested Loop,Inner,XXX,Nested Loop
11c.sql :,1,4726,-4725,XXX,Gather,XXX,XXX,Nested Loop
11c.sql :,1,1575,-1574,XXX,Nested Loop,Inner,XXX,Gather
11c.sql :,85,51595,-51510,XXX,Hash Join,Inner,XXX,Nested Loop
11c.sql :,112,56471,-56359,XXX,Hash Join,Inner,XXX,Hash Join
11c.sql :,564478,445713,118765,movie_companies,Seq Scan,XXX,XXX,Hash Join
11c.sql :,42,15801,-15759,XXX,Hash,XXX,XXX,Hash Join
11c.sql :,42,15801,-15759,XXX,Hash Join,Inner,XXX,Hash
11c.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
11c.sql :,1,0,1,company_name,Index Scan,XXX,Forward,Nested Loop
11d.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
11d.sql :,22,4966,-4944,XXX,Nested Loop,Inner,XXX,Aggregate
11d.sql :,24,4972,-4948,XXX,Nested Loop,Inner,XXX,Nested Loop
11d.sql :,32,5170,-5138,XXX,Hash Join,Inner,XXX,Nested Loop
11d.sql :,564478,445713,118765,movie_companies,Seq Scan,XXX,XXX,Hash Join
11d.sql :,12,487,-475,XXX,Hash,XXX,XXX,Hash Join
11d.sql :,12,487,-475,XXX,Hash Join,Inner,XXX,Hash
11d.sql :,12,487,-475,XXX,Nested Loop,Inner,XXX,Hash Join
11d.sql :,13,487,-474,XXX,Hash Join,Inner,XXX,Nested Loop
11d.sql :,42,15801,-15759,XXX,Hash Join,Inner,XXX,Hash Join
11d.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
11d.sql :,1,0,1,company_type,Index Scan,XXX,Forward,Memoize
12a.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
12a.sql :,1,132,-131,XXX,Nested Loop,Inner,XXX,Aggregate
12a.sql :,1,437,-436,XXX,Nested Loop,Inner,XXX,Nested Loop
12a.sql :,1,839,-838,XXX,Nested Loop,Inner,XXX,Nested Loop
12a.sql :,5,3620,-3615,XXX,Hash Join,Inner,XXX,Nested Loop
12a.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
12a.sql :,1,648,-647,XXX,Hash,XXX,XXX,Hash Join
12a.sql :,1,648,-647,XXX,Hash Join,Inner,XXX,Hash
12a.sql :,1015,90907,-89892,XXX,Hash Join,Inner,XXX,Hash Join
12a.sql :,114639,91548,23091,movie_info,Seq Scan,XXX,XXX,Hash Join
12a.sql :,188,5283,-5095,XXX,Hash,XXX,XXX,Hash Join
12a.sql :,188,5283,-5095,XXX,Hash Join,Inner,XXX,Hash
12a.sql :,21262,17543,3719,movie_info_idx,Seq Scan,XXX,XXX,Hash Join
12a.sql :,1,0,1,XXX,Memoize,XXX,XXX,Nested Loop
12a.sql :,1,0,1,company_type,Index Scan,XXX,Forward,Memoize
12a.sql :,1,0,1,title,Index Scan,XXX,Forward,Nested Loop
12b.sql :,1,10,-9,XXX,Nested Loop,Inner,XXX,Aggregate
12b.sql :,1,10,-9,XXX,Gather,XXX,XXX,Nested Loop
12b.sql :,1,3,-2,XXX,Nested Loop,Inner,XXX,Gather
12b.sql :,1,11,-10,XXX,Hash Join,Inner,XXX,Nested Loop
12b.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
12b.sql :,1458,1,1457,XXX,Hash Join,Inner,XXX,Nested Loop
12b.sql :,54446,40621,13825,XXX,Hash Join,Inner,XXX,Hash Join
12b.sql :,6152362,4945240,1207122,movie_info,Seq Scan,XXX,XXX,Hash Join
12b.sql :,5089,3,5086,XXX,Hash,XXX,XXX,Hash Join
12b.sql :,5089,3,5086,XXX,Hash Join,Inner,XXX,Hash
12b.sql :,575015,460012,115003,movie_info_idx,Seq Scan,XXX,XXX,Hash Join
12b.sql :,1,0,1,title,Index Scan,XXX,Forward,Nested Loop
12b.sql :,1,0,1,company_name,Index Scan,XXX,Forward,Nested Loop
12c.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
12c.sql :,1,1570,-1569,XXX,Nested Loop,Inner,XXX,Aggregate
12c.sql :,2,4251,-4249,XXX,Nested Loop,Inner,XXX,Nested Loop
12c.sql :,6,12740,-12734,XXX,Nested Loop,Inner,XXX,Nested Loop
12c.sql :,23,42037,-42014,XXX,Hash Join,Inner,XXX,Nested Loop
12c.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
12c.sql :,5,7396,-7391,XXX,Hash,XXX,XXX,Hash Join
12c.sql :,5,7396,-7391,XXX,Hash Join,Inner,XXX,Hash
12c.sql :,1205,108418,-107213,XXX,Hash Join,Inner,XXX,Hash Join
12c.sql :,136172,109104,27068,movie_info,Seq Scan,XXX,XXX,Hash Join
12c.sql :,707,40524,-39817,XXX,Hash,XXX,XXX,Hash Join
12c.sql :,707,40524,-39817,XXX,Hash Join,Inner,XXX,Hash
12c.sql :,79874,64280,15594,movie_info_idx,Seq Scan,XXX,XXX,Hash Join
12c.sql :,1,0,1,XXX,Memoize,XXX,XXX,Nested Loop
12c.sql :,1,0,1,company_type,Index Scan,XXX,Forward,Memoize
12c.sql :,1,0,1,company_name,Index Scan,XXX,Forward,Nested Loop
12c.sql :,1,0,1,title,Index Scan,XXX,Forward,Nested Loop
13a.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
13a.sql :,11,37034,-37023,XXX,Nested Loop,Inner,XXX,Aggregate
13a.sql :,269,639832,-639563,XXX,Hash Join,Inner,XXX,Nested Loop
13a.sql :,968,2707862,-2706894,XXX,Hash Join,Inner,XXX,Hash Join
13a.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
13a.sql :,208,241577,-241369,XXX,Hash,XXX,XXX,Hash Join
13a.sql :,208,241577,-241369,XXX,Hash Join,Inner,XXX,Hash
13a.sql :,1458,372995,-371537,XXX,Nested Loop,Inner,XXX,Hash Join
13a.sql :,1458,372995,-371537,XXX,Hash Join,Inner,XXX,Nested Loop
13a.sql :,54446,1012240,-957794,XXX,Hash Join,Inner,XXX,Hash Join
13a.sql :,6152362,4945240,1207122,movie_info,Seq Scan,XXX,XXX,Hash Join
13a.sql :,5089,153308,-148219,XXX,Hash,XXX,XXX,Hash Join
13a.sql :,5089,153308,-148219,XXX,Hash Join,Inner,XXX,Hash
13a.sql :,575015,460012,115003,movie_info_idx,Seq Scan,XXX,XXX,Hash Join
13a.sql :,1,0,1,company_name,Index Scan,XXX,Forward,Nested Loop
13b.sql :,1,372,-371,XXX,Nested Loop,Inner,XXX,Aggregate
13b.sql :,1,978,-977,XXX,Nested Loop,Inner,XXX,Nested Loop
13b.sql :,1,2474,-2473,XXX,Gather,XXX,XXX,Nested Loop
13b.sql :,1,825,-824,XXX,Nested Loop,Inner,XXX,Gather
13b.sql :,1,1067,-1066,XXX,Hash Join,Inner,XXX,Nested Loop
13b.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
13b.sql :,1,194,-193,XXX,Hash,XXX,XXX,Hash Join
13b.sql :,1,194,-193,XXX,Nested Loop,Inner,XXX,Hash
13b.sql :,1458,372995,-371537,XXX,Hash Join,Inner,XXX,Nested Loop
13b.sql :,54446,1012240,-957794,XXX,Hash Join,Inner,XXX,Hash Join
13b.sql :,6152362,4945240,1207122,movie_info,Seq Scan,XXX,XXX,Hash Join
13b.sql :,5089,153308,-148219,XXX,Hash,XXX,XXX,Hash Join
13b.sql :,5089,153308,-148219,XXX,Hash Join,Inner,XXX,Hash
13b.sql :,575015,460012,115003,movie_info_idx,Seq Scan,XXX,XXX,Hash Join
13b.sql :,1,0,1,title,Index Scan,XXX,Forward,Nested Loop
13b.sql :,1,0,1,kind_type,Index Scan,XXX,Forward,Memoize
13b.sql :,1,0,1,company_name,Index Scan,XXX,Forward,Nested Loop
13b.sql :,1,0,1,company_type,Index Scan,XXX,Forward,Nested Loop
13c.sql :,1,53,-52,XXX,Nested Loop,Inner,XXX,Aggregate
13c.sql :,1,213,-212,XXX,Nested Loop,Inner,XXX,Nested Loop
13c.sql :,1,615,-614,XXX,Gather,XXX,XXX,Nested Loop
13c.sql :,1,205,-204,XXX,Nested Loop,Inner,XXX,Gather
13c.sql :,1,232,-231,XXX,Hash Join,Inner,XXX,Nested Loop
13c.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
13c.sql :,1,43,-42,XXX,Hash,XXX,XXX,Hash Join
13c.sql :,1,43,-42,XXX,Nested Loop,Inner,XXX,Hash
13c.sql :,1458,372995,-371537,XXX,Hash Join,Inner,XXX,Nested Loop
13c.sql :,54446,1012240,-957794,XXX,Hash Join,Inner,XXX,Hash Join
13c.sql :,6152362,4945240,1207122,movie_info,Seq Scan,XXX,XXX,Hash Join
13c.sql :,5089,153308,-148219,XXX,Hash,XXX,XXX,Hash Join
13c.sql :,5089,153308,-148219,XXX,Hash Join,Inner,XXX,Hash
13c.sql :,575015,460012,115003,movie_info_idx,Seq Scan,XXX,XXX,Hash Join
13c.sql :,1,0,1,title,Index Scan,XXX,Forward,Nested Loop
13c.sql :,1,0,1,kind_type,Index Scan,XXX,Forward,Memoize
13c.sql :,1,0,1,company_name,Index Scan,XXX,Forward,Nested Loop
13c.sql :,1,0,1,company_type,Index Scan,XXX,Forward,Nested Loop
13d.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
13d.sql :,97,223463,-223366,XXX,Nested Loop,Inner,XXX,Aggregate
13d.sql :,269,639832,-639563,XXX,Hash Join,Inner,XXX,Nested Loop
13d.sql :,968,2707862,-2706894,XXX,Hash Join,Inner,XXX,Hash Join
13d.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
13d.sql :,208,241577,-241369,XXX,Hash,XXX,XXX,Hash Join
13d.sql :,208,241577,-241369,XXX,Hash Join,Inner,XXX,Hash
13d.sql :,1458,372995,-371537,XXX,Nested Loop,Inner,XXX,Hash Join
13d.sql :,1458,372995,-371537,XXX,Hash Join,Inner,XXX,Nested Loop
13d.sql :,54446,1012240,-957794,XXX,Hash Join,Inner,XXX,Hash Join
13d.sql :,6152362,4945240,1207122,movie_info,Seq Scan,XXX,XXX,Hash Join
13d.sql :,5089,153308,-148219,XXX,Hash,XXX,XXX,Hash Join
13d.sql :,5089,153308,-148219,XXX,Hash Join,Inner,XXX,Hash
13d.sql :,575015,460012,115003,movie_info_idx,Seq Scan,XXX,XXX,Hash Join
13d.sql :,1,0,1,company_name,Index Scan,XXX,Forward,Nested Loop
14a.sql :,1,761,-760,XXX,Gather,XXX,XXX,Aggregate
14a.sql :,1,254,-253,XXX,Nested Loop,Inner,XXX,Gather
14a.sql :,18,25223,-25205,XXX,Hash Join,Inner,XXX,Nested Loop
14a.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
14a.sql :,1,2915,-2914,XXX,Hash,XXX,XXX,Hash Join
14a.sql :,1,2915,-2914,XXX,Hash Join,Inner,XXX,Hash
14a.sql :,10,5838,-5828,XXX,Nested Loop,Inner,XXX,Hash Join
14a.sql :,64,71080,-71016,XXX,Hash Join,Inner,XXX,Nested Loop
14a.sql :,2471,204750,-202279,XXX,Hash Join,Inner,XXX,Hash Join
14a.sql :,279226,235558,43668,movie_info,Seq Scan,XXX,XXX,Hash Join
14a.sql :,4943,151410,-146467,XXX,Hash,XXX,XXX,Hash Join
14a.sql :,4943,151410,-146467,XXX,Hash Join,Inner,XXX,Hash
14a.sql :,558578,445878,112700,movie_info_idx,Seq Scan,XXX,XXX,Hash Join
14a.sql :,1,0,1,title,Index Scan,XXX,Forward,Nested Loop
14a.sql :,1,0,1,keyword,Index Scan,XXX,Forward,Nested Loop
14b.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
14b.sql :,1,0,1,XXX,Nested Loop,Inner,XXX,Aggregate
14b.sql :,1,65,-64,XXX,Hash Join,Inner,XXX,Nested Loop
14b.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
14b.sql :,1,6,-5,XXX,Hash,XXX,XXX,Hash Join
14b.sql :,1,6,-5,XXX,Nested Loop,Inner,XXX,Hash
14b.sql :,18,38863,-38845,XXX,Hash Join,Inner,XXX,Nested Loop
14b.sql :,2471,204750,-202279,XXX,Hash Join,Inner,XXX,Hash Join
14b.sql :,279226,235558,43668,movie_info,Seq Scan,XXX,XXX,Hash Join
14b.sql :,1366,86616,-85250,XXX,Hash,XXX,XXX,Hash Join
14b.sql :,1366,86616,-85250,XXX,Hash Join,Inner,XXX,Hash
14b.sql :,154365,124470,29895,movie_info_idx,Seq Scan,XXX,XXX,Hash Join
14b.sql :,1,0,1,title,Index Scan,XXX,Forward,Nested Loop
14b.sql :,1,0,1,keyword,Index Scan,XXX,Forward,Nested Loop
14b.sql :,1,0,1,kind_type,Index Scan,XXX,Forward,Nested Loop
14c.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
14c.sql :,1,1372,-1371,XXX,Nested Loop,Inner,XXX,Aggregate
14c.sql :,96,153383,-153287,XXX,Hash Join,Inner,XXX,Nested Loop
14c.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
14c.sql :,8,14805,-14797,XXX,Hash,XXX,XXX,Hash Join
14c.sql :,8,14805,-14797,XXX,Hash Join,Inner,XXX,Hash
14c.sql :,26,21417,-21391,XXX,Nested Loop,Inner,XXX,Hash Join
14c.sql :,65,71080,-71015,XXX,Hash Join,Inner,XXX,Nested Loop
14c.sql :,2517,204750,-202233,XXX,Hash Join,Inner,XXX,Hash Join
14c.sql :,284402,238737,45665,movie_info,Seq Scan,XXX,XXX,Hash Join
14c.sql :,4943,151410,-146467,XXX,Hash,XXX,XXX,Hash Join
14c.sql :,4943,151410,-146467,XXX,Hash Join,Inner,XXX,Hash
14c.sql :,558578,445878,112700,movie_info_idx,Seq Scan,XXX,XXX,Hash Join
14c.sql :,1,0,1,title,Index Scan,XXX,Forward,Nested Loop
14c.sql :,1,0,1,keyword,Index Scan,XXX,Forward,Nested Loop
15a.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
15a.sql :,8,109,-101,XXX,Hash Join,Inner,XXX,Aggregate
15a.sql :,150613,120491,30122,aka_title,Seq Scan,XXX,XXX,Hash Join
15a.sql :,3,466,-463,XXX,Hash,XXX,XXX,Hash Join
15a.sql :,3,466,-463,XXX,Nested Loop,Inner,XXX,Hash
15a.sql :,3,466,-463,XXX,Nested Loop,Inner,XXX,Nested Loop
15a.sql :,5,491,-486,XXX,Hash Join,Inner,XXX,Nested Loop
15a.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
15a.sql :,1,223,-222,XXX,Hash,XXX,XXX,Hash Join
15a.sql :,1,223,-222,XXX,Nested Loop,Inner,XXX,Hash
15a.sql :,1,223,-222,XXX,Nested Loop,Inner,XXX,Nested Loop
15a.sql :,1,233,-232,XXX,Hash Join,Inner,XXX,Nested Loop
15a.sql :,5746,20555,-14809,movie_companies,Seq Scan,XXX,XXX,Hash Join
15a.sql :,1,590,-589,XXX,Hash,XXX,XXX,Hash Join
15a.sql :,1,590,-589,XXX,Hash Join,Inner,XXX,Hash
15a.sql :,147,590,-443,movie_info,Seq Scan,XXX,XXX,Hash Join
15b.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
15b.sql :,4,12,-8,XXX,Nested Loop,Inner,XXX,Aggregate
15b.sql :,4,12,-8,XXX,Hash Join,Inner,XXX,Nested Loop
15b.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
15b.sql :,1,25,-24,XXX,Hash Join,Inner,XXX,Nested Loop
15b.sql :,5746,20555,-14809,movie_companies,Seq Scan,XXX,XXX,Hash Join
15b.sql :,1,39,-38,XXX,Hash,XXX,XXX,Hash Join
15b.sql :,1,39,-38,XXX,Hash Join,Inner,XXX,Hash
15b.sql :,150613,120491,30122,aka_title,Seq Scan,XXX,XXX,Hash Join
15b.sql :,1,590,-589,XXX,Hash,XXX,XXX,Hash Join
15b.sql :,1,590,-589,XXX,Hash Join,Inner,XXX,Hash
15b.sql :,147,590,-443,movie_info,Seq Scan,XXX,XXX,Hash Join
15b.sql :,1,0,1,company_name,Index Scan,XXX,Forward,Nested Loop
15c.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
15c.sql :,57,757,-700,XXX,Hash Join,Inner,XXX,Aggregate
15c.sql :,150613,120491,30122,aka_title,Seq Scan,XXX,XXX,Hash Join
15c.sql :,22,2655,-2633,XXX,Hash,XXX,XXX,Hash Join
15c.sql :,22,2655,-2633,XXX,Nested Loop,Inner,XXX,Hash
15c.sql :,22,2655,-2633,XXX,Hash Join,Inner,XXX,Nested Loop
15c.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
15c.sql :,2,882,-880,XXX,Hash,XXX,XXX,Hash Join
15c.sql :,2,882,-880,XXX,Nested Loop,Inner,XXX,Hash
15c.sql :,2,882,-880,XXX,Nested Loop,Inner,XXX,Nested Loop
15c.sql :,2,882,-880,XXX,Nested Loop,Inner,XXX,Nested Loop
15c.sql :,6,961,-955,XXX,Hash Join,Inner,XXX,Nested Loop
15c.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
15c.sql :,1,594,-593,XXX,Hash,XXX,XXX,Hash Join
15c.sql :,1,594,-593,XXX,Hash Join,Inner,XXX,Hash
15c.sql :,147,594,-447,movie_info,Seq Scan,XXX,XXX,Hash Join
15d.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
15d.sql :,2152,3782,-1630,XXX,Hash Join,Inner,XXX,Aggregate
15d.sql :,150613,120491,30122,aka_title,Seq Scan,XXX,XXX,Hash Join
15d.sql :,815,8521,-7706,XXX,Hash,XXX,XXX,Hash Join
15d.sql :,815,8521,-7706,XXX,Nested Loop,Inner,XXX,Hash
15d.sql :,815,8521,-7706,XXX,Hash Join,Inner,XXX,Nested Loop
15d.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
15d.sql :,63,3286,-3223,XXX,Hash,XXX,XXX,Hash Join
15d.sql :,63,3286,-3223,XXX,Hash Join,Inner,XXX,Hash
15d.sql :,63,3286,-3223,XXX,Nested Loop,Inner,XXX,Hash Join
15d.sql :,175,4792,-4617,XXX,Hash Join,Inner,XXX,Nested Loop
15d.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
15d.sql :,34,3554,-3520,XXX,Hash,XXX,XXX,Hash Join
15d.sql :,34,3554,-3520,XXX,Nested Loop,Inner,XXX,Hash
15d.sql :,49,3560,-3511,XXX,Hash Join,Inner,XXX,Nested Loop
15d.sql :,5571,3603,1968,movie_info,Seq Scan,XXX,XXX,Hash Join
16a.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
16a.sql :,25,128,-103,XXX,Hash Join,Inner,XXX,Aggregate
16a.sql :,375560,300448,75112,aka_name,Seq Scan,XXX,XXX,Hash Join
16a.sql :,10,108,-98,XXX,Hash,XXX,XXX,Hash Join
16a.sql :,10,108,-98,XXX,Nested Loop,Inner,XXX,Hash
16a.sql :,10,108,-98,XXX,Hash Join,Inner,XXX,Nested Loop
16a.sql :,15118793,12081448,3037345,cast_info,Seq Scan,XXX,XXX,Hash Join
16a.sql :,1,8,-7,XXX,Hash,XXX,XXX,Hash Join
16a.sql :,1,8,-7,XXX,Nested Loop,Inner,XXX,Hash
16a.sql :,2,18,-16,XXX,Hash Join,Inner,XXX,Nested Loop
16a.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
16a.sql :,1,49,-48,XXX,Hash,XXX,XXX,Hash Join
16a.sql :,1,49,-48,XXX,Nested Loop,Inner,XXX,Hash
16a.sql :,14,13947,-13933,XXX,Hash Join,Inner,XXX,Nested Loop
16a.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
16a.sql :,1,0,1,title,Index Scan,XXX,Forward,Nested Loop
16a.sql :,1,0,1,company_name,Index Scan,XXX,Forward,Nested Loop
16b.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
16b.sql :,1008,1236864,-1235856,XXX,Hash Join,Inner,XXX,Aggregate
16b.sql :,375560,300448,75112,aka_name,Seq Scan,XXX,XXX,Hash Join
16b.sql :,416,944185,-943769,XXX,Hash,XXX,XXX,Hash Join
16b.sql :,416,944185,-943769,XXX,Nested Loop,Inner,XXX,Hash
16b.sql :,416,944185,-943769,XXX,Hash Join,Inner,XXX,Nested Loop
16b.sql :,15118793,12081448,3037345,cast_info,Seq Scan,XXX,XXX,Hash Join
16b.sql :,26,22772,-22746,XXX,Hash,XXX,XXX,Hash Join
16b.sql :,26,22772,-22746,XXX,Nested Loop,Inner,XXX,Hash
16b.sql :,73,49517,-49444,XXX,Hash Join,Inner,XXX,Nested Loop
16b.sql :,1087137,869710,217427,movie_companies,Seq Scan,XXX,XXX,Hash Join
16b.sql :,14,13947,-13933,XXX,Hash,XXX,XXX,Hash Join
16b.sql :,14,13947,-13933,XXX,Nested Loop,Inner,XXX,Hash
16b.sql :,14,13947,-13933,XXX,Hash Join,Inner,XXX,Nested Loop
16b.sql :,1884971,1507977,376994,movie_keyword,Seq Scan,XXX,XXX,Hash Join
16b.sql :,1,0,1,company_name,Index Scan,XXX,Forward,Nested Loop
16c.sql :,2,3,-1,XXX,Gather,XXX,XXX,Aggregate
16c.sql :,377,106644,-106267,XXX,Hash Join,Inner,XXX,Aggregate
16c.sql :,375560,300448,75112,aka_name,Seq Scan,XXX,XXX,Hash Join
16c.sql :,155,73870,-73715,XXX,Hash,XXX,XXX,Hash Join
16c.sql :,155,73870,-73715,XXX,Nested Loop,Inner,XXX,Hash
16c.sql :,155,73870,-73715,XXX,Hash Join,Inner,XXX,Nested Loop
16c.sql :,15118793,12081448,3037345,cast_info,Seq Scan,XXX,XXX,Hash Join
16c.sql :,10,2846,-2836,XXX,Hash,XXX,XXX,Hash Join
